folder,filename,family,known_status,level,vars,clauses,description
moderate,tseitin_deg3_v80_unsat.cnf,Tseitin parity on 3-regular graph,UNSAT,moderate,120,320,edge-variable parity constraints on a regular graph
hard,tseitin_deg3_v100_sat.cnf,Tseitin parity on 3-regular graph,SAT,hard,150,400,larger Tseitin parity formula
hard,tseitin_deg3_v100_unsat.cnf,Tseitin parity on 3-regular graph,UNSAT,hard,150,400,larger Tseitin parity formula
hard,tseitin_deg3_v120_sat.cnf,Tseitin parity on 3-regular graph,SAT,hard,180,480,larger Tseitin parity formula
hard,tseitin_deg3_v120_unsat.cnf,Tseitin parity on 3-regular graph,UNSAT,hard,180,480,larger Tseitin parity formula
hard,tseitin_deg3_v160_sat.cnf,Tseitin parity on 3-regular graph,SAT,hard,240,640,larger Tseitin parity formula
hard,tseitin_deg3_v160_unsat.cnf,Tseitin parity on 3-regular graph,UNSAT,hard,240,640,larger Tseitin parity formula
hard,tseitin_deg4_v64_sat.cnf,Tseitin parity on 4-regular graph,SAT,hard,128,512,larger Tseitin parity formula
hard,tseitin_deg4_v64_unsat.cnf,Tseitin parity on 4-regular graph,UNSAT,hard,128,512,larger Tseitin parity formula
hard,tseitin_deg4_v96_sat.cnf,Tseitin parity on 4-regular graph,SAT,hard,192,768,larger Tseitin parity formula
hard,tseitin_deg4_v96_unsat.cnf,Tseitin parity on 4-regular graph,UNSAT,hard,192,768,larger Tseitin parity formula
stress,tseitin_deg3_v240_unsat.cnf,Tseitin parity on 3-regular graph,UNSAT,stress,360,960,stress Tseitin UNSAT formula; use timeout
stress,tseitin_deg4_v160_unsat.cnf,Tseitin parity on 4-regular graph,UNSAT,stress,320,1280,stress Tseitin UNSAT formula; use timeout
moderate,pigeonhole_php_9_into_8.cnf,pigeonhole principle PHP,UNSAT,moderate,72,549,more pigeons than holes
moderate,pigeonhole_php_11_into_10.cnf,pigeonhole principle PHP,UNSAT,moderate,110,1056,more pigeons than holes
moderate,pigeonhole_php_13_into_12.cnf,pigeonhole principle PHP,UNSAT,moderate,156,1807,more pigeons than holes
hard,pigeonhole_php_15_into_14.cnf,pigeonhole principle PHP,UNSAT,hard,210,2850,larger PHP resolution-hard family
hard,pigeonhole_php_17_into_16.cnf,pigeonhole principle PHP,UNSAT,hard,272,4233,larger PHP resolution-hard family
hard,pigeonhole_php_19_into_18.cnf,pigeonhole principle PHP,UNSAT,hard,342,6004,larger PHP resolution-hard family
stress,pigeonhole_php_21_into_20.cnf,pigeonhole principle PHP,UNSAT,stress,420,8211,stress PHP instance; use timeout
stress,pigeonhole_php_23_into_22.cnf,pigeonhole principle PHP,UNSAT,stress,506,10902,stress PHP instance; use timeout
moderate,ordering_no_minimum_n8.cnf,ordering principle,UNSAT,moderate,28,344,finite strict total order with no minimum
moderate,ordering_no_minimum_n10.cnf,ordering principle,UNSAT,moderate,45,730,finite strict total order with no minimum
moderate,ordering_no_minimum_n12.cnf,ordering principle,UNSAT,moderate,66,1332,finite strict total order with no minimum
hard,ordering_no_minimum_n14.cnf,ordering principle,UNSAT,hard,91,2198,larger ordering principle formula
hard,ordering_no_minimum_n16.cnf,ordering principle,UNSAT,hard,120,3376,larger ordering principle formula
hard,ordering_no_minimum_n18.cnf,ordering principle,UNSAT,hard,153,4914,larger ordering principle formula
stress,ordering_no_minimum_n20.cnf,ordering principle,UNSAT,stress,190,6860,stress ordering-principle formula
stress,ordering_no_minimum_n24.cnf,ordering principle,UNSAT,stress,276,12168,stress ordering-principle formula
moderate,ramsey_R3_3_n6_unsat.cnf,Ramsey graph coloring,UNSAT,moderate,15,40,no red K3 and no blue K3
moderate,ramsey_R3_3_n7_unsat.cnf,Ramsey graph coloring,UNSAT,moderate,21,70,no red K3 and no blue K3
moderate,ramsey_R3_3_n8_unsat.cnf,Ramsey graph coloring,UNSAT,moderate,28,112,no red K3 and no blue K3
moderate,ramsey_R3_4_n9_unsat.cnf,Ramsey graph coloring,UNSAT,moderate,36,210,no red K3 and no blue K4
moderate,ramsey_R3_4_n10_unsat.cnf,Ramsey graph coloring,UNSAT,moderate,45,330,no red K3 and no blue K4
hard,ramsey_R3_4_n11_unsat.cnf,Ramsey graph coloring,UNSAT,hard,55,495,larger no red K3 and no blue K4
hard,ramsey_R4_4_n18_unsat.cnf,Ramsey graph coloring,UNSAT,hard,153,6120,larger no red K4 and no blue K4
moderate,vdw_2color_k3_n9_unsat.cnf,Van der Waerden AP coloring,UNSAT,moderate,9,32,avoid monochromatic arithmetic progression of length 3
moderate,vdw_2color_k3_n16_unsat.cnf,Van der Waerden AP coloring,UNSAT,moderate,16,112,avoid monochromatic arithmetic progression of length 3
moderate,vdw_2color_k4_n35_unsat.cnf,Van der Waerden AP coloring,UNSAT,moderate,35,374,avoid monochromatic arithmetic progression of length 4
hard,vdw_2color_k4_n45_unsat.cnf,Van der Waerden AP coloring,UNSAT,hard,45,630,larger AP coloring formula for length 4
hard,vdw_2color_k4_n60_unsat.cnf,Van der Waerden AP coloring,UNSAT,hard,60,1140,larger AP coloring formula for length 4
moderate,mycielski_iter2_color4_sat.cnf,Mycielski graph coloring,SAT,moderate,44,157,Mycielski graph colored with chromatic number 4
moderate,mycielski_iter2_color3_unsat.cnf,Mycielski graph coloring,UNSAT,moderate,33,104,Mycielski graph under-colored by one
moderate,mycielski_iter3_color5_sat.cnf,Mycielski graph coloring,SAT,moderate,115,608,Mycielski graph colored with chromatic number 5
moderate,mycielski_iter3_color4_unsat.cnf,Mycielski graph coloring,UNSAT,moderate,92,445,Mycielski graph under-colored by one
hard,mycielski_iter4_color6_sat.cnf,Mycielski graph coloring,SAT,hard,282,2168,larger Mycielski graph with known coloring
hard,mycielski_iter4_color5_unsat.cnf,Mycielski graph coloring,UNSAT,hard,235,1697,larger Mycielski graph under-colored by one
moderate,planted_graph_coloring_n80_k3_p72_sat.cnf,planted graph coloring,SAT,moderate,240,4838,dense k-colorable graph with hidden coloring
moderate,planted_graph_coloring_n120_k3_p70_sat.cnf,planted graph coloring,SAT,moderate,360,10608,dense k-colorable graph with hidden coloring
hard,planted_graph_coloring_n150_k4_p70_sat.cnf,planted graph coloring,SAT,hard,600,24798,larger dense k-colorable graph with hidden coloring
stress,planted_graph_coloring_n220_k3_p75_sat.cnf,planted graph coloring,SAT,stress,660,37294,large dense planted coloring instance; use timeout
moderate,nqueens_12x12_sat.cnf,N-Queens,SAT,moderate,144,2620,12-queens constraints
moderate,nqueens_14x14_sat.cnf,N-Queens,SAT,moderate,196,4214,14-queens constraints
hard,nqueens_16x16_sat.cnf,N-Queens,SAT,hard,256,6352,larger 16-queens CNF
hard,nqueens_20x20_sat.cnf,N-Queens,SAT,hard,400,12580,larger 20-queens CNF
stress,nqueens_24x24_sat.cnf,N-Queens,SAT,stress,576,21944,stress N-Queens CNF
moderate,sudoku_9x9_32givens_seed1_sat.cnf,Sudoku 9x9,SAT,moderate,729,12020,Sudoku CNF with 32 givens
moderate,sudoku_9x9_28givens_seed2_sat.cnf,Sudoku 9x9,SAT,moderate,729,12016,Sudoku CNF with 28 givens
hard,sudoku_9x9_24givens_seed3_sat.cnf,Sudoku 9x9,SAT,hard,729,12012,Sudoku CNF with 24 givens
stress,sudoku_9x9_20givens_sat.cnf,Sudoku 9x9,SAT,stress,729,12008,low-clue Sudoku-style SAT instance; use timeout
moderate,orthogonal_latin_squares_order3_sat.cnf,orthogonal Latin squares,SAT,moderate,81,1998,two orthogonal Latin squares of order 3
hard,orthogonal_latin_squares_order5_sat.cnf,orthogonal Latin squares,SAT,hard,625,45150,two orthogonal Latin squares of order 5
stress,orthogonal_latin_squares_order6_unsat.cnf,orthogonal Latin squares / Euler 36 officers,UNSAT,stress,1296,136296,Euler 36 officers: no pair of OLS of order 6
