folder,filename,family,known_status,level,vars,clauses,max_seconds,source_command,notes
cnfgen_cases,count_m6_p3_sat.cnf,counting,SAT,easy,20,276,60,cnfgen -S 31013 count 6 3,counting partition principle
cnfgen_cases,count_m7_p3_unsat.cnf,counting,UNSAT,easy,35,742,60,cnfgen -S 31014 count 7 3,counting partition principle
cnfgen_cases,count_m8_p2_sat.cnf,counting,SAT,easy,28,176,60,cnfgen -S 31009 count 8 2,counting partition principle
cnfgen_cases,count_m9_p2_unsat.cnf,counting,UNSAT,easy,36,261,60,cnfgen -S 31010 count 9 2,counting partition principle
cnfgen_cases,eq2_rand3cnf_v12_m42_planted_sat.cnf,planted_randkcnf_transform,SAT,moderate,24,336,60,cnfgen -S 31227 randkcnf -p 3 12 42 -T eq 2,satisfiability-preserving CNFgen transformation
cnfgen_cases,exact_random3cnf_v10_m30_s1.cnf,exact_small_randkcnf,SAT,easy,10,30,60,cnfgen -S 31078 randkcnf 3 10 30,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v10_m30_s2.cnf,exact_small_randkcnf,SAT,easy,10,30,60,cnfgen -S 31079 randkcnf 3 10 30,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v10_m40_s1.cnf,exact_small_randkcnf,SAT,easy,10,40,60,cnfgen -S 31080 randkcnf 3 10 40,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v10_m40_s2.cnf,exact_small_randkcnf,SAT,easy,10,40,60,cnfgen -S 31081 randkcnf 3 10 40,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v10_m50_s1.cnf,exact_small_randkcnf,UNSAT,easy,10,50,60,cnfgen -S 31082 randkcnf 3 10 50,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v10_m50_s2.cnf,exact_small_randkcnf,UNSAT,easy,10,50,60,cnfgen -S 31083 randkcnf 3 10 50,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v11_m33_s1.cnf,exact_small_randkcnf,SAT,easy,11,33,60,cnfgen -S 31084 randkcnf 3 11 33,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v11_m33_s2.cnf,exact_small_randkcnf,SAT,easy,11,33,60,cnfgen -S 31085 randkcnf 3 11 33,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v11_m44_s1.cnf,exact_small_randkcnf,SAT,easy,11,44,60,cnfgen -S 31086 randkcnf 3 11 44,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v11_m44_s2.cnf,exact_small_randkcnf,SAT,easy,11,44,60,cnfgen -S 31087 randkcnf 3 11 44,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v11_m55_s1.cnf,exact_small_randkcnf,SAT,easy,11,55,60,cnfgen -S 31088 randkcnf 3 11 55,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v11_m55_s2.cnf,exact_small_randkcnf,UNSAT,easy,11,55,60,cnfgen -S 31089 randkcnf 3 11 55,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v12_m36_s1.cnf,exact_small_randkcnf,SAT,easy,12,36,60,cnfgen -S 31090 randkcnf 3 12 36,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v12_m36_s2.cnf,exact_small_randkcnf,SAT,easy,12,36,60,cnfgen -S 31091 randkcnf 3 12 36,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v12_m48_s1.cnf,exact_small_randkcnf,UNSAT,easy,12,48,60,cnfgen -S 31092 randkcnf 3 12 48,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v12_m48_s2.cnf,exact_small_randkcnf,UNSAT,easy,12,48,60,cnfgen -S 31093 randkcnf 3 12 48,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v12_m60_s1.cnf,exact_small_randkcnf,UNSAT,easy,12,60,60,cnfgen -S 31094 randkcnf 3 12 60,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v12_m60_s2.cnf,exact_small_randkcnf,UNSAT,easy,12,60,60,cnfgen -S 31095 randkcnf 3 12 60,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v13_m39_s1.cnf,exact_small_randkcnf,SAT,easy,13,39,60,cnfgen -S 31096 randkcnf 3 13 39,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v13_m39_s2.cnf,exact_small_randkcnf,SAT,easy,13,39,60,cnfgen -S 31097 randkcnf 3 13 39,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v13_m52_s1.cnf,exact_small_randkcnf,SAT,easy,13,52,60,cnfgen -S 31098 randkcnf 3 13 52,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v13_m52_s2.cnf,exact_small_randkcnf,SAT,easy,13,52,60,cnfgen -S 31099 randkcnf 3 13 52,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v13_m65_s1.cnf,exact_small_randkcnf,SAT,easy,13,65,60,cnfgen -S 31100 randkcnf 3 13 65,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v13_m65_s2.cnf,exact_small_randkcnf,UNSAT,easy,13,65,60,cnfgen -S 31101 randkcnf 3 13 65,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v14_m42_s1.cnf,exact_small_randkcnf,SAT,easy,14,42,60,cnfgen -S 31102 randkcnf 3 14 42,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v14_m42_s2.cnf,exact_small_randkcnf,SAT,easy,14,42,60,cnfgen -S 31103 randkcnf 3 14 42,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v14_m56_s1.cnf,exact_small_randkcnf,SAT,easy,14,56,60,cnfgen -S 31104 randkcnf 3 14 56,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v14_m56_s2.cnf,exact_small_randkcnf,UNSAT,easy,14,56,60,cnfgen -S 31105 randkcnf 3 14 56,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v14_m70_s1.cnf,exact_small_randkcnf,UNSAT,easy,14,70,60,cnfgen -S 31106 randkcnf 3 14 70,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v14_m70_s2.cnf,exact_small_randkcnf,SAT,easy,14,70,60,cnfgen -S 31107 randkcnf 3 14 70,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v15_m45_s1.cnf,exact_small_randkcnf,SAT,easy,15,45,60,cnfgen -S 31108 randkcnf 3 15 45,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v15_m45_s2.cnf,exact_small_randkcnf,SAT,easy,15,45,60,cnfgen -S 31109 randkcnf 3 15 45,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v15_m60_s1.cnf,exact_small_randkcnf,SAT,easy,15,60,60,cnfgen -S 31110 randkcnf 3 15 60,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v15_m60_s2.cnf,exact_small_randkcnf,UNSAT,easy,15,60,60,cnfgen -S 31111 randkcnf 3 15 60,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v15_m75_s1.cnf,exact_small_randkcnf,SAT,easy,15,75,60,cnfgen -S 31112 randkcnf 3 15 75,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v15_m75_s2.cnf,exact_small_randkcnf,UNSAT,easy,15,75,60,cnfgen -S 31113 randkcnf 3 15 75,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v16_m48_s1.cnf,exact_small_randkcnf,SAT,easy,16,48,60,cnfgen -S 31114 randkcnf 3 16 48,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v16_m48_s2.cnf,exact_small_randkcnf,SAT,easy,16,48,60,cnfgen -S 31115 randkcnf 3 16 48,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v16_m64_s1.cnf,exact_small_randkcnf,SAT,easy,16,64,60,cnfgen -S 31116 randkcnf 3 16 64,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v16_m64_s2.cnf,exact_small_randkcnf,UNSAT,easy,16,64,60,cnfgen -S 31117 randkcnf 3 16 64,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v16_m80_s1.cnf,exact_small_randkcnf,UNSAT,easy,16,80,60,cnfgen -S 31118 randkcnf 3 16 80,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v16_m80_s2.cnf,exact_small_randkcnf,SAT,easy,16,80,60,cnfgen -S 31119 randkcnf 3 16 80,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v8_m24_s1.cnf,exact_small_randkcnf,SAT,easy,8,24,60,cnfgen -S 31066 randkcnf 3 8 24,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v8_m24_s2.cnf,exact_small_randkcnf,SAT,easy,8,24,60,cnfgen -S 31067 randkcnf 3 8 24,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v8_m32_s1.cnf,exact_small_randkcnf,SAT,easy,8,32,60,cnfgen -S 31068 randkcnf 3 8 32,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v8_m32_s2.cnf,exact_small_randkcnf,SAT,easy,8,32,60,cnfgen -S 31069 randkcnf 3 8 32,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v8_m40_s1.cnf,exact_small_randkcnf,SAT,easy,8,40,60,cnfgen -S 31070 randkcnf 3 8 40,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v8_m40_s2.cnf,exact_small_randkcnf,UNSAT,easy,8,40,60,cnfgen -S 31071 randkcnf 3 8 40,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v9_m27_s1.cnf,exact_small_randkcnf,SAT,easy,9,27,60,cnfgen -S 31072 randkcnf 3 9 27,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v9_m27_s2.cnf,exact_small_randkcnf,SAT,easy,9,27,60,cnfgen -S 31073 randkcnf 3 9 27,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v9_m36_s1.cnf,exact_small_randkcnf,SAT,easy,9,36,60,cnfgen -S 31074 randkcnf 3 9 36,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v9_m36_s2.cnf,exact_small_randkcnf,SAT,easy,9,36,60,cnfgen -S 31075 randkcnf 3 9 36,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v9_m45_s1.cnf,exact_small_randkcnf,UNSAT,easy,9,45,60,cnfgen -S 31076 randkcnf 3 9 45,status brute-forced during generation
cnfgen_cases,exact_random3cnf_v9_m45_s2.cnf,exact_small_randkcnf,SAT,easy,9,45,60,cnfgen -S 31077 randkcnf 3 9 45,status brute-forced during generation
cnfgen_cases,flip_cliquecoloring_n5_k5_c4_unsat.cnf,clique_coloring_transform,UNSAT,moderate,55,380,60,cnfgen -S 31229 cliquecoloring 5 5 4 -T flip,satisfiability-preserving CNFgen transformation
cnfgen_cases,flip_php_p6_h6_sat.cnf,pigeonhole_transform,SAT,moderate,36,96,60,cnfgen -S 31219 php 6 6 -T flip,satisfiability-preserving CNFgen transformation
cnfgen_cases,kclique_k4_complete4_sat.cnf,clique,SAT,easy,16,88,60,cnfgen -S 31195 kclique 4 complete 4,known clique instance
cnfgen_cases,kclique_k4_empty8_unsat.cnf,clique,UNSAT,easy,32,500,60,cnfgen -S 31196 kclique 4 empty 8,known clique instance
cnfgen_cases,kclique_k5_complete8_sat.cnf,clique,SAT,easy,40,505,60,cnfgen -S 31197 kclique 5 complete 8,known clique instance
cnfgen_cases,kclique_k6_complete5_unsat.cnf,clique,UNSAT,easy,30,291,60,cnfgen -S 31198 kclique 6 complete 5,known clique instance
cnfgen_cases,kcolor_k2_empty24_sat.cnf,graph_coloring,SAT,easy,48,48,60,cnfgen -S 31193 kcolor 2 empty 24,known graph-coloring instance
cnfgen_cases,kcolor_k2_grid3x3_sat.cnf,graph_coloring,SAT,easy,18,42,60,cnfgen -S 31194 kcolor 2 grid 3 3,known graph-coloring instance
cnfgen_cases,kcolor_k3_complete3_sat.cnf,graph_coloring,SAT,easy,9,21,60,cnfgen -S 31189 kcolor 3 complete 3,known graph-coloring instance
cnfgen_cases,kcolor_k3_complete4_unsat.cnf,graph_coloring,UNSAT,easy,12,34,60,cnfgen -S 31190 kcolor 3 complete 4,known graph-coloring instance
cnfgen_cases,kcolor_k4_complete4_sat.cnf,graph_coloring,SAT,easy,16,52,60,cnfgen -S 31191 kcolor 4 complete 4,known graph-coloring instance
cnfgen_cases,kcolor_k4_complete5_unsat.cnf,graph_coloring,UNSAT,easy,20,75,60,cnfgen -S 31192 kcolor 4 complete 5,known graph-coloring instance
cnfgen_cases,matching_complete8_sat.cnf,matching,SAT,easy,28,176,60,cnfgen -S 31199 matching complete 8,perfect matching principle
cnfgen_cases,matching_complete9_unsat.cnf,matching,UNSAT,easy,36,261,60,cnfgen -S 31200 matching complete 9,perfect matching principle
cnfgen_cases,matching_empty6_unsat.cnf,matching,UNSAT,easy,0,6,60,cnfgen -S 31201 matching empty 6,perfect matching principle
cnfgen_cases,matching_grid4x4_sat.cnf,matching,SAT,easy,24,68,60,cnfgen -S 31202 matching grid 4 4,perfect matching principle
cnfgen_cases,or2_rand3cnf_v12_m42_planted_sat.cnf,planted_randkcnf_transform,SAT,moderate,24,170,60,cnfgen -S 31226 randkcnf -p 3 12 42 -T or 2,satisfiability-preserving CNFgen transformation
cnfgen_cases,ordering_no_minimum_n10_unsat.cnf,ordering,UNSAT,moderate,90,775,60,cnfgen -S 31175 op 10,ordering principle
cnfgen_cases,ordering_no_minimum_n12_unsat.cnf,ordering,UNSAT,moderate,132,1398,60,cnfgen -S 31176 op 12,ordering principle
cnfgen_cases,ordering_no_minimum_n13_unsat.cnf,ordering,UNSAT,moderate,156,1807,60,cnfgen -S 31177 op 13,ordering principle
cnfgen_cases,ordering_no_minimum_n6_unsat.cnf,ordering,UNSAT,easy,30,141,60,cnfgen -S 31173 op 6,ordering principle
cnfgen_cases,ordering_no_minimum_n8_unsat.cnf,ordering,UNSAT,easy,56,372,60,cnfgen -S 31174 op 8,ordering principle
cnfgen_cases,parity_n12_sat.cnf,parity,SAT,easy,66,672,60,cnfgen -S 31006 parity 12,parity principle
cnfgen_cases,parity_n13_unsat.cnf,parity,UNSAT,easy,78,871,60,cnfgen -S 31007 parity 13,parity principle
cnfgen_cases,parity_n16_sat.cnf,parity,SAT,easy,120,1696,60,cnfgen -S 31008 parity 16,parity principle
cnfgen_cases,parity_n8_sat.cnf,parity,SAT,easy,28,176,60,cnfgen -S 31004 parity 8,parity principle
cnfgen_cases,parity_n9_unsat.cnf,parity,UNSAT,easy,36,261,60,cnfgen -S 31005 parity 9,parity principle
cnfgen_cases,peb_path12_unsat.cnf,pebbling,UNSAT,easy,13,14,60,cnfgen -S 31212 peb path 12,pebbling formula
cnfgen_cases,peb_pyramid4_unsat.cnf,pebbling,UNSAT,easy,15,16,60,cnfgen -S 31213 peb pyramid 4,pebbling formula
cnfgen_cases,peb_tree4_unsat.cnf,pebbling,UNSAT,easy,31,32,60,cnfgen -S 31214 peb tree 4,pebbling formula
cnfgen_cases,php_p12_h11_unsat.cnf,pigeonhole,UNSAT,moderate,132,738,60,cnfgen -S 31146 php 12 11,plain pigeonhole principle
cnfgen_cases,php_p15_h14_unsat.cnf,pigeonhole,UNSAT,moderate,210,1485,60,cnfgen -S 31147 php 15 14,plain pigeonhole principle
cnfgen_cases,php_p16_h15_unsat.cnf,pigeonhole,UNSAT,moderate,240,1816,60,cnfgen -S 31149 php 16 15,plain pigeonhole principle
cnfgen_cases,php_p16_h16_sat.cnf,pigeonhole,SAT,moderate,256,1936,60,cnfgen -S 31148 php 16 16,plain pigeonhole principle
cnfgen_cases,php_p5_h5_sat.cnf,pigeonhole,SAT,easy,25,55,60,cnfgen -S 31142 php 5 5,plain pigeonhole principle
cnfgen_cases,php_p6_h5_unsat.cnf,pigeonhole,UNSAT,easy,30,81,60,cnfgen -S 31143 php 6 5,plain pigeonhole principle
cnfgen_cases,php_p8_h8_sat.cnf,pigeonhole,SAT,easy,64,232,60,cnfgen -S 31144 php 8 8,plain pigeonhole principle
cnfgen_cases,php_p9_h8_unsat.cnf,pigeonhole,UNSAT,easy,72,297,60,cnfgen -S 31145 php 9 8,plain pigeonhole principle
cnfgen_cases,planted_rand2cnf_v120_m260_s1_sat.cnf,planted_randkcnf,SAT,moderate,120,260,60,cnfgen -S 31018 randkcnf -p 2 120 260,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v120_m260_s2_sat.cnf,planted_randkcnf,SAT,moderate,120,260,60,cnfgen -S 31024 randkcnf -p 2 120 260,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v120_m260_s3_sat.cnf,planted_randkcnf,SAT,moderate,120,260,60,cnfgen -S 31030 randkcnf -p 2 120 260,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v180_m360_s1_sat.cnf,planted_randkcnf,SAT,moderate,180,360,60,cnfgen -S 31019 randkcnf -p 2 180 360,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v180_m360_s2_sat.cnf,planted_randkcnf,SAT,moderate,180,360,60,cnfgen -S 31025 randkcnf -p 2 180 360,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v180_m360_s3_sat.cnf,planted_randkcnf,SAT,moderate,180,360,60,cnfgen -S 31031 randkcnf -p 2 180 360,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v240_m520_s1_sat.cnf,planted_randkcnf,SAT,stress,240,520,60,cnfgen -S 31020 randkcnf -p 2 240 520,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v240_m520_s2_sat.cnf,planted_randkcnf,SAT,stress,240,520,60,cnfgen -S 31026 randkcnf -p 2 240 520,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v240_m520_s3_sat.cnf,planted_randkcnf,SAT,stress,240,520,60,cnfgen -S 31032 randkcnf -p 2 240 520,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v50_m120_s1_sat.cnf,planted_randkcnf,SAT,easy,50,120,60,cnfgen -S 31016 randkcnf -p 2 50 120,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v50_m120_s2_sat.cnf,planted_randkcnf,SAT,easy,50,120,60,cnfgen -S 31022 randkcnf -p 2 50 120,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v50_m120_s3_sat.cnf,planted_randkcnf,SAT,easy,50,120,60,cnfgen -S 31028 randkcnf -p 2 50 120,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v50_m60_s1_sat.cnf,planted_randkcnf,SAT,easy,50,60,60,cnfgen -S 31015 randkcnf -p 2 50 60,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v50_m60_s2_sat.cnf,planted_randkcnf,SAT,easy,50,60,60,cnfgen -S 31021 randkcnf -p 2 50 60,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v50_m60_s3_sat.cnf,planted_randkcnf,SAT,easy,50,60,60,cnfgen -S 31027 randkcnf -p 2 50 60,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v80_m160_s1_sat.cnf,planted_randkcnf,SAT,moderate,80,160,60,cnfgen -S 31017 randkcnf -p 2 80 160,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v80_m160_s2_sat.cnf,planted_randkcnf,SAT,moderate,80,160,60,cnfgen -S 31023 randkcnf -p 2 80 160,CNFgen planted random k-CNF
cnfgen_cases,planted_rand2cnf_v80_m160_s3_sat.cnf,planted_randkcnf,SAT,moderate,80,160,60,cnfgen -S 31029 randkcnf -p 2 80 160,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v120_m510_s1_sat.cnf,planted_randkcnf,SAT,moderate,120,510,60,cnfgen -S 31036 randkcnf -p 3 120 510,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v120_m510_s2_sat.cnf,planted_randkcnf,SAT,moderate,120,510,60,cnfgen -S 31043 randkcnf -p 3 120 510,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v120_m510_s3_sat.cnf,planted_randkcnf,SAT,moderate,120,510,60,cnfgen -S 31050 randkcnf -p 3 120 510,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v200_m860_s1_sat.cnf,planted_randkcnf,SAT,stress,200,860,60,cnfgen -S 31037 randkcnf -p 3 200 860,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v200_m860_s2_sat.cnf,planted_randkcnf,SAT,stress,200,860,60,cnfgen -S 31044 randkcnf -p 3 200 860,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v200_m860_s3_sat.cnf,planted_randkcnf,SAT,stress,200,860,60,cnfgen -S 31051 randkcnf -p 3 200 860,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v30_m90_s1_sat.cnf,planted_randkcnf,SAT,easy,30,90,60,cnfgen -S 31033 randkcnf -p 3 30 90,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v30_m90_s2_sat.cnf,planted_randkcnf,SAT,easy,30,90,60,cnfgen -S 31040 randkcnf -p 3 30 90,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v30_m90_s3_sat.cnf,planted_randkcnf,SAT,easy,30,90,60,cnfgen -S 31047 randkcnf -p 3 30 90,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v320_m1360_s1_sat.cnf,planted_randkcnf,SAT,stress,320,1360,60,cnfgen -S 31038 randkcnf -p 3 320 1360,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v320_m1360_s2_sat.cnf,planted_randkcnf,SAT,stress,320,1360,60,cnfgen -S 31045 randkcnf -p 3 320 1360,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v320_m1360_s3_sat.cnf,planted_randkcnf,SAT,stress,320,1360,60,cnfgen -S 31052 randkcnf -p 3 320 1360,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v500_m2000_s1_sat.cnf,planted_randkcnf,SAT,stress,500,2000,60,cnfgen -S 31039 randkcnf -p 3 500 2000,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v500_m2000_s2_sat.cnf,planted_randkcnf,SAT,stress,500,2000,60,cnfgen -S 31046 randkcnf -p 3 500 2000,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v500_m2000_s3_sat.cnf,planted_randkcnf,SAT,stress,500,2000,60,cnfgen -S 31053 randkcnf -p 3 500 2000,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v60_m240_s1_sat.cnf,planted_randkcnf,SAT,easy,60,240,60,cnfgen -S 31034 randkcnf -p 3 60 240,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v60_m240_s2_sat.cnf,planted_randkcnf,SAT,easy,60,240,60,cnfgen -S 31041 randkcnf -p 3 60 240,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v60_m240_s3_sat.cnf,planted_randkcnf,SAT,easy,60,240,60,cnfgen -S 31048 randkcnf -p 3 60 240,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v90_m380_s1_sat.cnf,planted_randkcnf,SAT,moderate,90,380,60,cnfgen -S 31035 randkcnf -p 3 90 380,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v90_m380_s2_sat.cnf,planted_randkcnf,SAT,moderate,90,380,60,cnfgen -S 31042 randkcnf -p 3 90 380,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3cnf_v90_m380_s3_sat.cnf,planted_randkcnf,SAT,moderate,90,380,60,cnfgen -S 31049 randkcnf -p 3 90 380,CNFgen planted random k-CNF
cnfgen_cases,planted_rand3xor_v128_e180_s1_sat.cnf,planted_randkxor,SAT,stress,128,720,60,cnfgen -S 31125 randkxor -p 3 128 180,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v128_e180_s2_sat.cnf,planted_randkxor,SAT,stress,128,720,60,cnfgen -S 31131 randkxor -p 3 128 180,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v24_e24_s1_sat.cnf,planted_randkxor,SAT,easy,24,96,60,cnfgen -S 31120 randkxor -p 3 24 24,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v24_e24_s2_sat.cnf,planted_randkxor,SAT,easy,24,96,60,cnfgen -S 31126 randkxor -p 3 24 24,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v32_e40_s1_sat.cnf,planted_randkxor,SAT,easy,32,160,60,cnfgen -S 31121 randkxor -p 3 32 40,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v32_e40_s2_sat.cnf,planted_randkxor,SAT,easy,32,160,60,cnfgen -S 31127 randkxor -p 3 32 40,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v48_e64_s1_sat.cnf,planted_randkxor,SAT,easy,48,256,60,cnfgen -S 31122 randkxor -p 3 48 64,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v48_e64_s2_sat.cnf,planted_randkxor,SAT,easy,48,256,60,cnfgen -S 31128 randkxor -p 3 48 64,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v64_e90_s1_sat.cnf,planted_randkxor,SAT,moderate,64,360,60,cnfgen -S 31123 randkxor -p 3 64 90,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v64_e90_s2_sat.cnf,planted_randkxor,SAT,moderate,64,360,60,cnfgen -S 31129 randkxor -p 3 64 90,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v96_e128_s1_sat.cnf,planted_randkxor,SAT,moderate,96,512,60,cnfgen -S 31124 randkxor -p 3 96 128,CNFgen planted random XOR encoded as CNF
cnfgen_cases,planted_rand3xor_v96_e128_s2_sat.cnf,planted_randkxor,SAT,moderate,96,512,60,cnfgen -S 31130 randkxor -p 3 96 128,CNFgen planted random XOR encoded as CNF
